question,context,answer,keywords,category,intent,procedure
How to control tick infestation in animals?,animal diseases,"Application of acaricides like amitraz, malathion, flumethrin, cypermethrin, pestoben etc after consulting with a qualified veterinarian.","control, tick infestation",livestock keeping,know how,False
What is mange?,animal diseases,"Mange is a contagious skin disease caused by parasitic mites. Commonly sarcoptic, psoroptic and demodectic (or red mange) mange is seen in cattle, buffalo, sheep, goat, dog etc.",mange,livestock keeping,know what,False
How to control mange?,animal diseases,"Isolate the affected animals from other animals
Thoroughly clean their bedding and sheds.
Treat the affected animals by chemotherapy viz use of ivermectin, topical application of formamidines etc is effective.","control, mange",livestock keeping,know how,False
What is pediculosis?,animal diseases,The term pediculosis is used to denote lice infestation in animals and birds.,pediculosis,livestock keeping,know what,False
What are the effects of lice on their hosts?,animal diseases,"Irritation, restlessness, self inflicted injury, reduced feeding, inappropriate sleep and production loss.","lice, hosts",livestock keeping,know what,False
How to control pediculosis?,animal diseases,"In poultry, control is achieved by dusts or sprays of carbaryl or coumaphos, toxaphene, hexachlorocyclohexane, melathion etc. In cattle or large ruminants, crotoxyphos, coumaphos, cruformate, farphur, ronnel, cypermethrin, malathion etc spray is effective.","control, pediculosis",livestock keeping,know how,False
What are the parasitic diseases transmitted by fleas?,animal diseases,"Fleas act as vector the diseases like Dipylium caninum, Dipetalonema reconditum etc.","parasitic, diseases, fleas",livestock keeping,know what,False
How to control fleas?,animal diseases,Flea collars are very popular means of control. A combination of dichlorovos and fenitrothion is effective for dogs. Hexachlorocyclohexane is useful in dogs. Corticosteroids may be used to reduce pruritus in animal.,"control, fleas",livestock keeping,know how,False
What is Ehrlichiosis?,animal diseases,"Ehrlichiosis is caused by Ehrlichia caves in dog. The pet show the symptom of fever, other non specific symptom, epistaxis,nasal bleeding. Have bllod examination and contact your Vet for treatment.",Ehrlichiosis,livestock keeping,know how,False
What is Ehrlichiosis?,animal diseases,"Ehrlichiosis is caused by Ehrlichia caves in dog. The pet show the symptom of fever, other non specific symptom, epistaxis,nasal bleeding. Have bllod examination and contact your Vet for treatment.",Ehrlichiosis,livestock keeping,know what,False
How can we keep the milk for longer period?,animal diseases,The milk should be stored at 4°C within 2 hr of milking to keep it for longer period.,milk,consumer questions,know how,False
Can any chemicals are used to extend the shelf life of milk?,animal diseases,Legally no chemicals are allowed as preservative in milk.,"chemicals, shelf life, milk",livestock keeping,clear a doubt,False
What is the use of lactometer?,animal diseases,It is used to measure specific gravity of milk. It can also give an idea regarding adulteration of milk with water.,lactometer,livestock keeping,know what,False
Is dairy processing is profitable business?,agribusinesses,"Yes, it can be more revenue churner on the production of value added milk products.","dairy, processing, business",livestock keeping,curious to know more,False
Which dairy products are considered as more profitable?,agribusinesses,"Curd, lassi, flavoured milk, ice cream etc.","dairy, products, profitable",market related,curious to know more,False
Can we utilize paneer whey in some useful manner?,agribusinesses,"Yes, whey can be used for the preparation of whey drink even at cottage level.",paneer whey,market related,curious to know more,False
Is there any agency which provide loan for setting up of dairy plant?,agencies and organizations,"Yes, nationalized banks as well as other financial institutions provide loans for it.","agency, loan",agricultural agencies,curious to know more,False
Is there any subsidy is also provided on the setting up of dairy plant?,agencies and organizations,"Yes, the amount of subsidy varies with the conditions.",subsidy,agricultural agencies,curious to know more,False
What are the income tax benefits on income from dairy plant?,agencies and organizations,"Presently, Govt. is providing tax holidays on dairy plant business.","income tax, benefits ",agricultural agencies,curious to know more,False
What is the standard of cow milk in Punjab?,cattle (beef and dairy),Minimum 4.0% milk fat and 8.5% solids not fat (SNF),"cow milk, Punjab",livestock keeping,curious to know more,False
What is the synthetic milk?,cattle (beef and dairy),"It is the mixture of various ingredients such as urea, detergent etc. which looks like milk but no other property matches with milk.",synthetic milk,livestock keeping,curious to know more,False
What is the synthetic milk?,cattle (beef and dairy),"It is the mixture of various ingredients such as urea, detergent etc. which looks like milk but no other property matches with milk.",synthetic milk,consumer questions,curious to know more,False
Can synthetic milk be identified at home level also?,cattle (beef and dairy),"Yes, synthetic milk when rubbed between fingers give soapy feeling and on boiling smells like soap.","synthetic milk, identified",consumer questions,curious to know more,False
